achtgesichterambiwasse_0483|er lag auf der Altane eines Hauses, das er gut kannte, aber in dem er lange nicht gewesen war;
meisterfloh_2386|Komm, mein Peregrinus, begleite mich hin zu der holden Dörtje Elverdink, aus deiner Hand empfange ich die süße Braut.«
achtgesichterambiwasse_1923|Als farbiger natürlicher Zimmerschmuck stehen in den offenen Schiebetüren die Ausblicke auf die maigrünen, sommergelben,
meisterfloh_2667|namenloser Liebeswonne und Sehnsucht. – Das Mädchen wiederholte, indem sie, vor Peregrinus' starrem Blick errötend,
achtgesichterambiwasse_1415|Der hatte Lampen aus ölgetränktem Pflanzenpapier, und auf jeder Lampe war das Schriftzeichen des geheimnisvollen Gänsefluges gemalt, das er aus Katata mitgebracht hatte,
meisterfloh_1143|daß sie sehr vornehm ist und reich, und daß Herr Swammer sich ihrer lebhaft annimmt,
achtgesichterambiwasse_0549|Da befahl Kiri ihr, die Hände in die Ärmel zu verstecken, und sagte: «Schweig!»
meisterfloh_2892|weil sie es beherrscht. Fort, fort mit der unseligen Gabe!« Herr Peregrinus Tyß hatte das kleine Schächtelchen,
achtgesichterambiwasse_1080|In diesen höchsten Sekunden der See-Ekstase sollen Menschen von Boot zu Boot gegangen sein, Viertelstunden weit über das Wasser,
meisterfloh_2408|feindlich entzweit und nur zu lange gedauert habe. Er blickte dabei den Herrn Peregrinus Tyß lächelnd an
meisterfloh_2728|ehe ein feindlicher Zufall es ihm raube. Lämmerhirt hielt das für ein Zeichen, daß Peregrinus fort wolle, und bat ihn,
serapionsbruederauswahl_0557|Was können die Gestalten eines solchen Dichters, der jenem alten Wort zufolge nicht auch wahrhafter Seher ist,
meisterfloh_1574|von dannen. – Beide, Leuwenhoek und Swammerdamm, hatten sich schwer getroffen, denn beide hüpften, tanzten
serapionsbruederauswahl_1522|ein furchtbarer Tumult im Hause entstand. Die Türen wurden auf- und zugeworfen,
meisterfloh_2444|so ist denn die Flamme in deinem Innern ganz erloschen,
meisterfloh_2795|und so Röschens Gedanken zu   Er blickte auf, und das reine Himmelsazur der schönsten Augen
achtgesichterambiwasse_1835|daß ganz Japan sie lachend immer noch weiter erzählt. Der Spielwarenhändler sagte:
achtgesichterambiwasse_1659|Aber ein anderer Weiser, der den ersten überbieten wollte, warf sich vor der Königin nieder und rief:
meisterfloh_2954|Herr Peregrinus wollte sich ganz aus dem Schlafe ermuntern; doch plötzlich zuckten tausend feurige Blitze durch das Gemach,
serapionsbruederauswahl_0894|An dem freien Anstande, an der offnen Stirn, an den dunkelblau leuchtenden Augen mußte man den echten Dalkarl erkennen.
achtgesichterambiwasse_0866|wie mit einer stenographischen Schrift in Zeichenschrift notiert. Wie der Baum sich dehnte, wenn ihm in der Welt wohl war,
meisterfloh_0422|Flasche kölnisches Wasser gefunden und die Schläfe der Dame geschickt damit einreiben wollte,
achtgesichterambiwasse_1884|Auf diesen Augenblick hatte ich nur gewartet. Denn ich wußte, die Russen hatten ihren Mut mit Schnaps angefeuert,
achtgesichterambiwasse_1632|Die Weisen waren erstaunt, daß der König ohne Hilfe des Mondes das Seeweib in ein Menschenweib verwandelt hatte.
meisterfloh_0532|Wer gab Euch das Recht, die arme Dörtje einzusperren wie eine Sklavin und dann wieder, um nur Leute anzulocken,
achtgesichterambiwasse_2369|und sich wie ein weißer Wellengang über die Köpfe der Speisenden bewegen,
meisterfloh_2441|Die beiden Mikroskopisten waren indessen wieder, der Himmel weiß, worüber, in heftigen Zank geraten.
achtgesichterambiwasse_0343|mit karmoisinroten Blumen bestickt, mal fünfzig in weißen Gewändern, mit regenbogenfarbigen Schmetterlingen bestickt,
achtgesichterambiwasse_0322|Das große eiserne Gitter, das den Stadtteil des Liebesmarktes von der Stadt trennt, steht, von Polizisten bewacht, weit offen.
serapionsbruederauswahl_1358|daß die innere Kraft des Geistes sie nicht mehr trennen könne,
serapionsbruederauswahl_0852|da gefror ihm das Blut in den Adern, und er erstarrte bei dem Anblick der fürchterlichen Zerstörung.
meisterfloh_0425|warum ich Sie nicht lassen konnte in der heutigen Nacht. – Peregrinus! geben Sie mir den Gefangenen heraus,   Sie verschlossen haben
meisterfloh_2236|in dem sich das lästige, erzwungene Anerkenntnis der Superiorität ausspricht.
meisterfloh_0571|auch er wurde tief gerührt von Gamahehs Schönheit und ihrem unglücklichen Tode. Er nahm die Prinzessin in die Arme,
meisterfloh_2358|daß er Zeit seines Lebens nicht so viel abgeschmackte Torheiten begangen als eben heute,
serapionsbruederauswahl_0041|Darüber erbleichten die Bilder des früheren Lebens, und fruchtlos bleibt nun das Mühen, sie wieder aufzufrischen! –
achtgesichterambiwasse_1023|Als der große chinesische Weise und Wissende und sein lieblich lachendes Weib nach glücklichster Ehe hochbetagt starben,
serapionsbruederauswahl_1292|Vergebens ringe ich nach Worten, euch den ganz eignen wunderbaren Eindruck zu beschreiben,
achtgesichterambiwasse_2407|und im grüngelben Abendhimmel blieb das Meer zurück, und die Boote mit nackten schmalen Somalinegern, die das Dampfschiff draußen vor Aden
serapionsbruederauswahl_0879|es war ihm, als zögen unsichtbare Hände ihn hinab in den Schlund. –
meisterfloh_0973|und Bundesgenosse, der alte Swammerdamm, hatte die Prinzessin Gamaheh in dem Blumenstaube einer Tulpe entdeckt
achtgesichterambiwasse_1212|Gehorche jetzt und rotte Amagata vollständig aus unserm Leben aus, indem du sein Kind beseitigst.
serapionsbruederauswahl_1142|wie entrückt allem, was ihn umgab. »Was ist dir, mein Elis?« fragte Ulla.
achtgesichterambiwasse_2433|das also Grenzen hat und nicht als etwas Unbegrenztes, Unordentliches angesehen werden kann.»
meisterfloh_2863|Dies war nun die genügende Ursache, warum Herr Peregrinus Tyß ganz unwillig das Fenster zuwarf, so daß die Scheiben klirrten.
achtgesichterambiwasse_2364|und je nach dem Stand der Sonne anders zu stellen. Mit Strohhüten und weißen Sommerkleidern liegen Herren und Damen
meisterfloh_0152|ja, er suchte mittelst der Papierschere seinem Schlafröcklein von dem schönsten Kalmank möglichst einen chinesischen Zuschnitt zu geben,
achtgesichterambiwasse_2614|streckt die Arme ins Publikum, und statt in Wehklagen über die Ertrunkene auszubrechen, ruft er:
meisterfloh_1529|widrigem Lächeln fort, »sollten Sie, wertester Herr Tyß, denn nicht   daß mir meine
achtgesichterambiwasse_0607|Hatten nicht die Gongs der Tempel und selbst der große Kriegsgong, der tief in der Erde begraben ist, Kiri und sein Schwert vor Wochen gerufen?
achtgesichterambiwasse_2519|Aber jetzt ging er heute vor mir unter in der Flut der gelben Gesichter, als wäre er im Chinesischen Meer ertrunken.
meisterfloh_1421|ich mag mit dir gar nicht darüber rechten, was du über das Tadelnswerte meiner Lebensweise sagst, denn ich weiß,
meisterfloh_0041|und Peregrinus setzte sich an den Tisch, um ruhig die andern glänzenden Gaben in näheren Augenschein zu nehmen.
meisterfloh_2445|so gedenkst du nicht mehr der herrlichen Vorzeit in Famagusta, nicht mehr der schönen Tage in Berlin, nicht mehr –«
meisterfloh_1692|daß in den Papieren des Herrn Peregrinus Tyß auch nicht die leiseste Spur eines Verbrechens merkbar geworden.
meisterfloh_2476|er ging zum Tore hinaus und weiter, bis er endlich zu dem anmutigen Plätzchen kam,
achtgesichterambiwasse_1911|Aber die Japaner haben viel Eigenwärme in sich.
meisterfloh_0143|sondern weil sie sich in seine Natur nicht finden konnten. Peregrinus war still, sittig, fleißig,
meisterfloh_0710|das durch unser ganzes Leben rinnt, und das machte ihn finster, in sich gekehrt,
serapionsbruederauswahl_0937|»Trinkt,« sprach sie, »trinkt, mein lieber Freund, auf guten gastlichen Willkommen!«
meisterfloh_0892|daß ich einer der mächtigsten Könige sei und über viele, viele   herrsche. Aus angeborner Bescheidenheit,
meisterfloh_2002|überdem aber noch der Genius Thetel, alle streben nach dem Besitz der schönen Prinzessin, und ich selbst muß gestehen,
achtgesichterambiwasse_2569|Dann sah sie, wie der eine Mann den andern mit dem Kopf an das Messinggeländer schlug
meisterfloh_2984|waren von den Mikroskopen herab in sich selbst zusammengesunken, und man vernahm aus ihrem angstvollen Stöhnen und Ächzen,
meisterfloh_0884|»sagt mir nur erst, wer Ihr seid, guter unbekannter Freund, das übrige wird sich denn wohl finden.
achtgesichterambiwasse_0875|Als Ata-Mono die ersten Schriftzeichen in einem chinesischen Weidenbaum entdeckte, las er auch in der Baumrinde das Mittel,
serapionsbruederauswahl_0795|Aber der wich unter ihm, und er schwebte wie in schimmerndem Äther. »Nun, Elis Fröbom,
achtgesichterambiwasse_2284|und deine Umarmungen, deinen Leib und dein Herz anderen Frauen gibst,
serapionsbruederauswahl_0583|Mich bedünkt, es sei nun ausgemacht, daß,
achtgesichterambiwasse_1518|Denn das Mädchen wurde in seinen Augen immer schöner, und er hätte es gern umarmt.
serapionsbruederauswahl_0585|und jeder es wert hält, mit dem andern die alte Verbindung zu erneuern. Aber das Gewühl der großen Stadt,
meisterfloh_1780|Man fand es denn auch sehr ratsam, daß der Herr Geheime Hofrat Knarrpanti Frankfurt verließe und als Resultat seiner Bemühungen,
serapionsbruederauswahl_1688|Heute nahm er keinen Tropfen, und als er seiner Gewohnheit nach im Bette las,
achtgesichterambiwasse_1066|und an ein fernes und künftiges glückliches Leben sich anschlösse. Das ist die Brise von Amazu,
achtgesichterambiwasse_1326|Und weil das Auge der Prinzessin und das Auge des Mondes keine der sieben Regenbogenfarben dulden wollten,
meisterfloh_0857|um sich zu überzeugen, ob seine Phantasie ihn nicht täusche. Doch
achtgesichterambiwasse_0211|Aber der Geliebte konnte meinen Leib nicht mit in den Tod nehmen weil ich erst lernen mußte, dem Leben zu gehorchen.»
achtgesichterambiwasse_1551|je nachdem die Wasserspiegelungslinie sich einfügte oder nicht.
achtgesichterambiwasse_1971|«Fünftausendmal will ich dich hier umarmen. Fünftausendmal wollen wir uns hier treffen.» Die Frau schauderte vor Glück.
meisterfloh_1947|scheint, und nicht lange dauert es, so zeigt ein kleines, winziges, sonst   Tier
meisterfloh_1720|die Rechtsverständigen), es fehle gänzlich an einem Corpus delicti, der weise Rat Knarrpanti blieb
meisterfloh_1680|»so möcht' ich dich bitten, entführe ihm Friederiken, wo und wie du nur kannst.« Alle die erwähnten Worte
serapionsbruederauswahl_0564|aber es ist unser irdisches Erbteil, daß eben die Außenwelt, in der wir eingeschachtet,
meisterfloh_1330|von denen keiner am Weihnachtsabende Leids geschehen, so sah der Rat, wie es nicht anders geschehen konnte,
serapionsbruederauswahl_1104|Wie ward ihm, als er in der tiefsten Teufe deutlich und klar den Trappgang erblickte,
achtgesichterambiwasse_1722|Nach einer Weile rufst du den Mond, hinter einer Hausecke, an den Weg hervor und sagst:
serapionsbruederauswahl_0233|und schon seit vielen Jahren im Walde eine kleine Hütte bewohnt, die er sich selbst erbaut hat. Die Leute sagen,
meisterfloh_2699|die bitterste Dürftigkeit geraten, sie von einer Base in einem benachbarten kleinen Städtchen aufgenommen,
achtgesichterambiwasse_0218|Und wie der Schiller auf starrem, poliertem Porzellan glänzte Hanake bis zum Abend, so lange der Prinz in ihrem Hause war und mit ihr spielte.
meisterfloh_1449|Pepusch ließ nicht nach mit Toben. Das Zimmer wurde aufgeschlossen,
serapionsbruederauswahl_0490|diesen besondern Aufschwung nur für den Paroxismus einer gefährlichen Krankheit halten; was tut das, wenn der der Krankheit Angeklagte
meisterfloh_1082|Peregrinus starrte in das kupfrige, abscheulich verzerrte Gesicht der Alten,
achtgesichterambiwasse_2307|die unterirdisch dem Schiff folgten und hie und da in großen Wellenlinien an die Oberfläche kämen.
meisterfloh_3063|und vergoß häufige Tränen. »Ihr habt ganz recht,« sprach Meister Floh
achtgesichterambiwasse_0776|Für einen Augenblick war es mir, als wäre es Kiri selbst, der in der altmodischen Rüstung vor mir stand.
serapionsbruederauswahl_0884|mögen die schwarzen Wolken hinabtauchen in die brausenden Wellen, bald siegt doch wieder die schöne herrliche Sonne,
serapionsbruederauswahl_1202|»Seht Ihr wohl, daß Elis Fröbom nur schwindlicht geworden im Kopfe vor Liebe zu meiner Ulla!« –
achtgesichterambiwasse_0049|eine Kerze brannte, und ihre Lieblingsmagd, welche «Singende Seemuschel» hieß, kniete neben ihr und weinte in beide Hände.
achtgesichterambiwasse_0033|Man sah keine Menschen; denn jedes Segel reichte so tief, daß es das Boot verdeckte.
achtgesichterambiwasse_0641|Von Zeit zu Zeit fragte der Mann das Mädchen: «Wird der Regen lauter? Ich höre ihn nicht.»
meisterfloh_0590|und erschöpften sich in allerlei Vermutungen, was die Erscheinung wohl zu bedeuten,
achtgesichterambiwasse_2265|so von Grund aus sollte sich jetzt ihr Leben in der Zukunft verändern, daß alle Begriffe sich umstülpten.
achtgesichterambiwasse_0506|nach Stunden, schien es ihm, still. Man hob Kiri aus der Sänfte heraus. Er ließ alles geschehen
meisterfloh_2733|rannte wie gehetzt die Treppe hinab. »Nun, nun,« sprach der Kleine ganz verdutzt, »was ist denn das?
meisterfloh_1635|Da die Kleine verschiedene Namen führte, so hätte es, wie man denken sollte, dem Peregrinus schwer   müssen, den rechten
serapionsbruederauswahl_1507|doch hielt er es mit Recht für unzart, Aurelien darnach zu fragen, solange ihre Spannung anhielt
meisterfloh_2146|und bei der Pirouette dem Maitre des Spektakels an der Kulisse einen Backzahn aus dem Kinnbacken und den Operngucker vom Auge wegschlägt! –
meisterfloh_1392|und tust, als seist du noch ein Kind; dann schenkst du aber die Gaben, welche von der Art sind, wie sie wohl verwöhnten Kindern
achtgesichterambiwasse_1478|wo ich diese beiden Farben unvergeßlich nebeneinander sah.»
serapionsbruederauswahl_0398|mit schlotternden Knieen, kaum vermögend aufrecht zu stehen, in schmutziger blutbedeckter Kutte,
achtgesichterambiwasse_2358|sondern rot wird von der Hitze, mit der es deine Augen brennt,
meisterfloh_2111|Haben alle darüber nachgedacht, wie solche Sachen in einer Feuerkugel aus dem Himmel fallen mögen.
achtgesichterambiwasse_1281|schoß abwechselnd einen Strahl an die Decke und einen Strahl auf die eingewickelte Leiche am Boden. «Komm!
serapionsbruederauswahl_1160|als schaue aus seinem Innern heraus das furchtbare Antlitz der Königin, und nenne er ihren Namen, so würde,
serapionsbruederauswahl_0840|und eben dies beruhigte ihn auf besondere Weise, denn gewiß war es ihm,
achtgesichterambiwasse_0311|Und als leuchteten sie in die Unterwelt des Sees,
meisterfloh_1424|unerachtet ich dabei an niemanden weniger denke, als an mich selbst, gehässige Selbstsucht,
achtgesichterambiwasse_2453|Dann sagte er und faltete seine Landkarte zusammen:
meisterfloh_1987|wie möget   doch vom Traume reden, der nur als Resultat [von] irgendeiner Unordnung in unserm körperlichen oder geistigen Organismus herrührt.«
achtgesichterambiwasse_1903|Das Abendrot zu Seta Ein japanischer Winter am Biwasee ist nicht so kalt und nicht so schneereich wie die meisten deutschen Winter,
serapionsbruederauswahl_1461|als die Baronesse aus dem Starrkrampf erwachte und, sich des vorübergegangenen Zustandes völlig unbewußt,
serapionsbruederauswahl_0932|glühende Röte im ganzen Gesicht, mit niedergesenktem Blick dastand – erstarrt – keines Wortes mächtig.
achtgesichterambiwasse_0925|Wie beruhigend ist es doch, wenn man einen wilden Wunsch aufgibt! Man steigt herab, wie von einem wilden Pferd,
meisterfloh_2144|»Glaubt doch, Herr Wirt, nichts von dem allen, was der Galgenschwengel, der unnütze Haselant dort hergeplappert.«
serapionsbruederauswahl_0802|Der Alte hatte ihn umfaßt und rief: »Nimm dich in acht, Elis Fröbom, das ist die Königin,
meisterfloh_1306|»Wetter, wie man so vergeßlich, ja so ganz vor den Kopf geschlagen sein kann!
serapionsbruederauswahl_1278|und einer alten Französin bestand, die eine Art von Gouvernante vorzustellen sich mühte,
achtgesichterambiwasse_0247|Erlaßt es mir, _einem_ Mann Liebe heucheln zu müssen _hundertmal_ hintereinander.
serapionsbruederauswahl_1607|über das, was Bedrohliches, ganz unerwartet, plötzlich sie treffen könne, ein trübes trauriges Leben.
achtgesichterambiwasse_0856|an dem alten Uferbaum vorüber zur Harfe des Biwasees schickt.
serapionsbruederauswahl_1571|Hinein in den Vorsaal, hin zu Aureliens Füßen stürzte die Baronesse, in einen schlechten schmutzigen Kittel gekleidet,
achtgesichterambiwasse_0935|wie die Dünenmäuse miteinander wisperten, wie die Füchse hinter den Baumwurzeln bellten,
achtgesichterambiwasse_0903|denn er war ja der erste Vertraute, den die Bäume sich unter den Menschen auserwählt
achtgesichterambiwasse_1405|Wie Oizo noch am Malen war, kam einer seiner Kameraden, ein anderer Maler, der auch draußen in Katata gewohnt hatte, und lachte ihn aus,
achtgesichterambiwasse_1126|Wie wenn ein Spiegel einbricht und die Glassplitter trübes Glasmehl werden und kein Gesicht mehr hergeben, das hineingeschaut hat,
achtgesichterambiwasse_0833|Für jede seiner Heldentaten hängt eine Fahne dort über dem Dach des Kriegsmuseums,
serapionsbruederauswahl_1013|der ihm zur Seite stand. »Glück auf!« rief der Alte, »Glück auf, Elis Fröbom,
serapionsbruederauswahl_0584|wie schon vorhin Theodor erwähnte, wir alle voneinander glauben, es sei etwas an uns daran,
achtgesichterambiwasse_1645|Ihre Haare hatten sich von selbst geflochten, um dem König zu gefallen;
achtgesichterambiwasse_1894|«sag mir, Kriegskamerad, wie konntest du die Streichholzschachtel trocken erhalten, als du von deinem Schiff nach Port Arthur geschwommen bist?»
serapionsbruederauswahl_1185|und genug sei es auch eigentlich, die Zeichen zu verstehen, ohne das, was sie verkündeten, zutage zu fördern.
meisterfloh_2746|die Treppe hinaufstieg, das gespenstische Bild von dem wogenden Meer der Himmelsträume verschlungen,
meisterfloh_2852|Alle glaubwürdige und sehr authentische Notizen,
serapionsbruederauswahl_1130|und deshalb und weil ich dein Herz auch prüfen wollte, förderte ich gestern das Märchen mit Herrn Eric Olawsen zutage,
achtgesichterambiwasse_0276|Jetzt reichten die Singende Seemuschel und die anderen Mägde den Gästen Tee und Pfefferminzzucker herum
meisterfloh_1370|ein Nachbar des Herrn Peregrinus Tyß, der in jener verhängnisvollen Weihnachtsnacht zufällig eben in sein Haus treten wollen,
serapionsbruederauswahl_0554|daß die Tat, die Begebenheit, vor seinen geistigen Augen sich darstellend mit aller Lust, mit allem Entsetzen, mit allem Jubel, mit allen Schauern, ihn nicht begeisterte, entzündete,
serapionsbruederauswahl_0062|Auf diese Art bricht dann alle Philisterei auf uns ein, wie sie nur in irgendeinem Klub grünen und blühen mag. Glaubst du denn nicht, Ottmar,
meisterfloh_1290|Unerwartetes Zusammentreffen zweier Freunde.
meisterfloh_1901|und mich anstarrte mit solchen seltsamen Blicken, daß mir in der Tat ganz graulich zumute wurde. –
meisterfloh_1687|und urteilen Sie selbst, wie der Peregrinus das Entsetzliche im Schilde führt.« Die Stelle in dem Tagebuche,
serapionsbruederauswahl_0095|Waren doch selbst gescheite Pudel und gebildete Möpse
meisterfloh_2970|bald sich lang zu ziehen, und dabei stöhnte er: »Gamaheh – doch mein!«
meisterfloh_1917|und daß sie, die Alte, ihr aufs feierlichste versprechen müssen, seine Hand auszuschlagen. –
serapionsbruederauswahl_0306|›Irr' ich nicht, ehrwürdiger Herr, so war dieser schmutzige Mönch (so nennt ihn Heraklid selbst) ebenderselbe,
achtgesichterambiwasse_0010|auch reich an Besitz. Die Götter der Vergänglichkeit hatten sie mit ihren glänzendsten Geschenken,
meisterfloh_0560|und fiel bald in tiefen Schlaf. Gerade der Feind, dem sie hatte entgehen wollen,
meisterfloh_1109|einem schönen Zobelpelz mit goldnen Schnüren und Troddeln, Hut auf dem Kopfe, Stock in der Hand. »Gute Frau Aline,«
achtgesichterambiwasse_1715|Und bei den letzten Worten deutete sie mit den Eßstäbchen, mit denen sie dich bei der Unterhaltung gefüttert hatte, hinaus auf den Biwasee.
serapionsbruederauswahl_0059|»Herrlicher Einfall,« rief Lothar,
achtgesichterambiwasse_1058|und von spielenden Menschengruppen am Kiesstrand. Bis in den Abend schallen die Rufe,
achtgesichterambiwasse_1135|da schüttelte er nur den Kopf und sagte finster: «Auf Glück folgt Unglück und auf Unglück Glück.
achtgesichterambiwasse_1283|«Setz dich hierher, ich habe zu reden!» antwortete Omiya eine Stimme, die er nie gehört hatte. Und er fragte unwillkürlich erschrocken zurück:
achtgesichterambiwasse_1674|Der König aber legte seine Brust an die Brust der Königin, und während das Schiff mit gespannten Segeln durch die Nacht strich, nach Süden,
meisterfloh_2788|auch jene Dörtje Elverdink gestand dir ihre Liebe,
achtgesichterambiwasse_2236|und jetzt, getrennt von der Truppe, nach Japan zurückkehrten. Okuro hatte sich eben erst mit einer deutschen Dame verheiratet, und diese,
serapionsbruederauswahl_0671|und gab beides der Dirne. Der traten aber die hellen Tränen in die Augen, sie stand auf,
achtgesichterambiwasse_0821|gelangte an das russische Admiralsschiff und führt es in einem Morgennebel vor die Kanonen der im Nebel verborgenen japanischen Flotte.
meisterfloh_0937|Dies dünkte mir anmutiges Kosen, liebliche Tändelei beglückter Liebe! – Wie töricht ist der Sinn eines Verliebten,
achtgesichterambiwasse_2346|in das tiefere Zwischendeck hinunterführten, waren drunten belagert wie von einer Maskerade.
achtgesichterambiwasse_2487|wurde von dem wandernden Schiff für einen Tag berührt. Dann zog die magnetische Ferne das Schiff weiter nach Osten.
meisterfloh_1881|und winkte die Alte hinein. Sie wollte sich putzen und hatte dabei die Hilfe der Alten nötig.
meisterfloh_1579|sich ins Zimmer. Schwer fiel es nun erst dem Herrn Peregrinus Tyß aufs Herz, daß die Schönste aus dem Hause entflohen,
meisterfloh_2924|das Sumsen von tausend Insekten, die ihn umschwirrten. Dann war es, als würden seltsame Stimmen vernehmbar
meisterfloh_2800|Gedanken willst du erspähen,
achtgesichterambiwasse_0092|Das ist eines der drei Boote, sagte atemstockend ihr heimkehrendes Herz.
meisterfloh_1943|als ich sie in dem geringen Zeitraum von wenigen Tagen wirklich erlebt habe. – Die Anmut, das Entzücken,
meisterfloh_1929|und verließ stürmisch Zimmer und Haus. Es ist eine alte hergebrachte Sitte, daß der Held der Geschichte,
meisterfloh_2759|Hier gäb' es nun für einen tüchtigen handfesten Romanschreiber, der mit starker, kielbewaffneter Hand alles menschliche Tun und Treiben zusammenarbeitet nach Herzenslust,
serapionsbruederauswahl_0658|eine stille sehnsüchtige Trauer lag in dem Blick der dunkeln Augen. »Elis! –
achtgesichterambiwasse_0139|den Himmel ohne Grenzen und die Liebe zu dem plötzlich erschienenen Mann ohne Grenzen. Sie fragte nicht: «Wie heißt du?»
meisterfloh_2280|Ich weiß nicht, ob Ihr vielleicht den berühmten Rabbi Isaac Ben Harravad gekannt oder wenigstens von ihm gehört habt3.
achtgesichterambiwasse_2198|und die hat die Passagiere im Herzen so überschwenglich und warm gestimmt. Jetzt müssen alle wieder auf die schwankenden Schiffsbretter,
meisterfloh_1064|Ein kleines Kind, das sich irgendeiner Unart bewußt, kann sich nicht so vor der Rute der Mutter fürchten,
meisterfloh_1387|freudenloses Leben führe. »O ja,« erwiderte Pepusch mürrisch, »ich habe davon gehört,
achtgesichterambiwasse_0623|Ich muß dich lieben trotz des Todes, den du uns antust.
meisterfloh_1248|aber was Wissenschaft, tiefen Verstand, reife Urteilskraft, geübten richtigen Lebensblick betrifft,
meisterfloh_1462|Er seinerseits wolle wirklich dem Herrn Peregrinus raten, sich von nun an in die Welt zu begeben. »Glaubt mir,«
meisterfloh_0494|als ihm etwas Rauhes ins Gesicht flog und er sich eingehüllt sah in eine Wolke dicken Mehlstaubs.
meisterfloh_0405|mit zärtlicher Sorgfalt auf den Sofa legte. »Geschwind,« rief er dann, »geschwind, Aline, Feuer in den Kamin –
meisterfloh_0671|und daß Ihr es waret, der ihr das Leben wiedergab. Es ging Euch so, mein guter Leuwenhoek,
meisterfloh_2255|alles blieb ihm doch undeutlich und verworren. Seltsam schien es ihm nur,
serapionsbruederauswahl_1320|indem sie Elfen und andere flinke Spukgeister vorstellen wollen. ›Hört,‹ ruft Adelgunde, als es im Boskett ganz finster geworden,
meisterfloh_0528|So fragte Pepusch, den Flohbändiger unterbrechend. »Wo sie ist,« kreischte der Flohbändiger, indem er die Hände rang,
meisterfloh_2313|»und jenes Ereignis, wodurch die Kraft des Talismans geweckt werden soll, wißt Ihr mir das zu deuten, Herr Leuwenhoek?«
achtgesichterambiwasse_0772|denke dir, wie ich dort sitze, kommt derselbe Samurai, den ich eben noch drinnen neben mir knien sah, heraus.
serapionsbruederauswahl_0028|und auf demselben lendenlahmen Pianoforte wie vor zwölf Jahren losdonnern,
achtgesichterambiwasse_0582|daß der Tod dann mein Geliebter würde. Jetzt aber sehe ich, daß Friede am Land ist.
achtgesichterambiwasse_1444|dem dritten und vierten und fünften andere Mädchen von Katata, so daß wir alle merkten:
serapionsbruederauswahl_1036|trink, guter Junge, das wird dir wohl tun.« –
serapionsbruederauswahl_0325|Ich kam darauf, daß die Vertauschung des eignen Ichs mit irgendeiner geschichtlichen Person
meisterfloh_2646|und alles ist vorüber in wenigen Minuten; mich ruft ohnedies noch ein Geschäft.«   »Es ist,«
achtgesichterambiwasse_0759|die schoben gegen Mitternacht die Türen zum Gemach der Alten auf und fragten sie, ob sie sich einen Augenblick bei ihr ausruhen dürften.
meisterfloh_1056|denn in der Tat ist es wohl an einhundertzwanzigmal kleiner als ein Sandkorn;
achtgesichterambiwasse_1890|Mannschaften und Schiffe, vom Alkoholdunst erfüllt, explodierten unter Gekrach.
meisterfloh_2834|und daß die kleine Dörtje gar nichts anders sei,
meisterfloh_2517|ein schönes Leben ist das, zu dem die Ungeschicklichkeit der blöden Mikroskopisten die Ärmste gezwungen!« – »Mein bester,«
serapionsbruederauswahl_1282|so sprang sie auch im Gespräch, in all ihrem Tun rastlos von einem Dinge zum andern.
achtgesichterambiwasse_0530|Kiri mußte noch einmal fragen, um sie zu verstehen,
meisterfloh_0404|So sprach die alte Aline, indem sie die Augen weit aufriß, als Peregrinus die ohnmächtige Dame aus dem Mantel loswickelte und
meisterfloh_0063|Solchen hochbegabten Männern pflegt ein Mädchen, das, was Liebe betrifft, über die Überschwenglichkeit hinaus,
meisterfloh_1572|die weder verschlossen noch verriegelt war, auf und schlüpfte ins Zimmer hinein.
meisterfloh_0801|sie tat so begeistert von der Liebe zu der Distel Zeherit, die dazu bestimmt gewesen, in Jena zu studieren und dann in Berlin die
achtgesichterambiwasse_2299|bauten sich die Gedankenwelten der beiden Neuvermählten in der Leere des Meeres
achtgesichterambiwasse_0557|Sie schienen zu musizieren. Aber seltsamerweise hörte Kiri keinen Ton mehr im Ohr,
meisterfloh_2315|den plötzlich große Verlegenheit überrascht, und der nicht weiß, was er sagen soll. Die Gedanken lauteten: »Wetter,
serapionsbruederauswahl_0295|und lud mich gastlich ein, zu essen und zu trinken, indem er sich mir gegenüber auf einen Schemel  setzte
achtgesichterambiwasse_0778|und der große Hanfstrick, der über dem Tempeltore hängt und die Geister vertreibt, schaukelte im Windzug,
meisterfloh_3006|von dem Ihr getäuscht wurdet, wie neugierige, vorwitzige Kinder. Toren!
serapionsbruederauswahl_0040|ohne tief in unser Inneres hinein seine blutige Spur einzugraben? –
meisterfloh_0781|und dieser   war nichts Geringeres, als daß Dörtje Elverdink die Prinzessin Gamaheh,
achtgesichterambiwasse_0849|leuchtete der harfenförmige Biwasee dicht bei dem Baumschößling
meisterfloh_0339|und er fühlte sich beschämt, daß die Dame darum wußte; und nun war es ihm wieder, als sei das Geschenk der Dame
meisterfloh_0095|so ist gar nicht daran zu zweifeln, daß der Ort, wo sich die wundersamen Abenteuer zutrugen, die in dieser Geschichte erzählt werden sollen,
meisterfloh_0073|wo Herr Peregrinus Tyß wohnte, vielen für eine naturhistorische Merkwürdigkeit galt. Sehr gut stand das schwarze struppige,
serapionsbruederauswahl_0386|Serapion schien meine Stimmung recht gut zu bemerken,
achtgesichterambiwasse_0800|Männer, die im Krieg gewesen waren, und Familienoberhäupter, die im Krieg Söhne verloren hatten.
